zipcode, numPeople,
92660, 19,
94941, 15,
06840, 14,
92646, 13,
92679, 13,
92648, 13,
06824, 12,
06820, 12,
20854, 12,
20817, 12,
92677, 11,
94904, 10,
92692, 10,
20878, 10,
92673, 10,
06877, 9,
92656, 9,
92694, 8,
92630, 8,
20853, 8,
92627, 8,
06880, 8,
94901, 7,
20815, 7,
92867, 6,
20832, 6,
20895, 6,
95403, 6,
92626, 6,
06825, 6,
20816, 6,
06850, 6,
92602, 5,
10543, 5,
92649, 5,
94949, 5,
20814, 5,
94960, 5,
10573, 5,
10514, 5,
94930, 5,
92651, 5,
92604, 4,
92886, 4,
92683, 4,
20850, 4,
06831, 4,
20876, 4,
92647, 4,
20902, 4,
92705, 4,
20912, 4,
94025, 4,
90815, 4,
06903, 4,
92688, 4,
06804, 3,
10598, 3,
20901, 3,
92612, 3,
95765, 3,
92617, 3,
06854, 3,
92618, 3,
94920, 3,
92625, 3,
94957, 3,
20155, 3,
06614, 3,
92653, 3,
91709, 3,
92657, 3,
06902, 3,
92675, 3,
10583, 3,
10570, 3,
94925, 3,
20176, 3,
94945, 3,
07656, 3,
95472, 3,
92691, 3,
06470, 3,
22015, 3,
06708, 3,
92780, 3,
06830, 3,
92782, 3,
11215, 3,
90703, 3,
06890, 3,
12737, 3,
20008, 3,
94566, 3,
94605, 3,
92663, 3,
90744, 2,
95407, 2,
20833, 2,
20012, 2,
06410, 2,
20851, 2,
06851, 2,
20852, 2,
90602, 2,
92629, 2,
20707, 2,
10003, 2,
06514, 2,
10026, 2,
20723, 2,
10522, 2,
92532, 2,
10538, 2,
94928, 2,
20015, 2,
94954, 2,
20896, 2,
95476, 2,
92658, 2,
06107, 2,
92661, 2,
06468, 2,
08701, 2,
06611, 2,
20147, 2,
06807, 2,
20003, 2,
10016, 2,
10011, 2,
06870, 2,
20905, 2,
06897, 2,
20906, 2,
20841, 2,
20910, 2,
90505, 2,
92701, 2,
94947, 2,
20171, 2,
90620, 2,
21403, 2,
90630, 2,
21701, 2,
95762, 2,
92806, 2,
02806, 2,
92861, 2,
06405, 2,
10580, 2,
06460, 2,
92869, 2,
90720, 2,
92870, 2,
06516, 2,
11731, 2,
90742, 2,
94024, 2,
90804, 2,
22101, 2,
11105, 2,
94115, 2,
20781, 2,
22182, 2,
11217, 2,
22207, 2,
92014, 2,
94806, 2,
06883, 2,
22304, 2,
06896, 2,
94903, 2,
92603, 2,
10590, 2,
07506, 2,
22602, 2,
92614, 2,
34211, 2,
92651, 3,
94560, 1,
34210, 1,
11530, 1,
90280, 1,
11223, 1,
90401, 1,
22066, 1,
90501, 1,
97060, 1,
90502, 1,
55317, 1,
20148, 1,
90242, 1,
90601, 1,
21755, 1,
20151, 1,
95023, 1,
90603, 1,
22312, 1,
90604, 1,
02702, 1,
11703, 1,
06610, 1,
20164, 1,
60657, 1,
11367, 1,
90034, 1,
90712, 1,
45242, 1
90715, 1,
94602, 1,
11733, 1,
22003, 1,
11743, 1,
22172, 1,
20711, 1,
95301, 1,
90803, 1,
22310, 1,
20721, 1,
95928, 1,
90808, 1,
98072, 1,
90814, 1,
30075, 1,
11747, 1,
34240, 1,
91024, 1,
48393, 1,
91105, 1,
10956, 1,
91108, 1,
06851, 1,
91355, 1,
85255, 1,
91708, 1,
07012, 1,
20740, 1,
10471, 1,
91710, 1,
94547, 1,
91711, 1,
94588, 1,
91722, 1,
94706, 1,
91741, 1,
21901, 1,
91752, 1,
10597, 1,
91761, 1,
10708, 1,
95135, 4
10709, 1,
20770, 1,
95125, 1,
20779, 1,
10952, 1,
92118, 1,
95450, 1,
92203, 1,
95630, 1,
92234, 1,
95812, 1,
92336, 1,
96701, 1,
92374, 1,
98038, 1,
92503, 1,
98422, 1,
92506, 1,
06074, 1,
11764, 1,
32653, 1,
10463, 1,
06484, 1,
10013, 1,
06525, 1,
11768, 1,
06612, 1,
92606, 1,
06787, 1,
92610, 1,
06810, 1,
10022, 1,
60148, 1,
10023, 1,
72956, 1,
10024, 1,
82426, 1,
11779, 1,
85083, 1,
77055, 1,
06897, 1,
95037, 1,
06906, 1,
11958, 1,
07430, 1,
10473, 1,
90250, 1,
10506, 1,
20815, 1,
11963, 1,
90275, 1,
10510, 1,
94549, 1,
12550, 1,
21703, 1,
12566, 1,
94598, 1,
10520, 1,
21716, 1,
10025, 1,
21740, 1,
12570, 1,
21798, 1,
20866, 1,
21911, 1,
10007, 1,
11423, 1,
20869, 1,
22031, 1,
20874, 1,
20011, 1,
10566, 1,
94952, 1,
11375, 1,
11516, 1,
10028, 1,
94965, 1,
92672, 1,
95062, 1,
10567, 1,
95222, 1,
20879, 1,
95401, 1,
10128, 1,
95405, 1,
13850, 1,
95442, 1,
17222, 1,
20016, 1,
19014, 1,
95616, 1,
19064, 1,
95746, 1,
10577, 1,
22556, 1,
10579, 1,
95925, 1,
19086, 1,
96161, 1,
92704, 1,
96791, 1,
19311, 1,
97267, 1,
92706, 1,
98052, 1,
92708, 1,
98374, 1,
92766, 1,
01942, 1,
19312, 1,
20036, 1,
21044, 1,
27613, 1,
92805, 1,
32082, 1,
21050, 1,
32789, 1,
92821, 1,
06477, 1,
21111, 1,
11598, 1,
21113, 1,
06524, 1,
21158, 1,
06605, 1,
21209, 1,
43065, 1,
92878, 1,
48320, 1,
92879, 1,
06716, 1,
21230, 1,
06801, 1,
92981, 1,
60124, 1,
93004, 1,
06812, 1,
93023, 1,
11050, 1,
93065, 1,
60564, 1,
93277, 1,
63122, 1,
93312, 1,
76107, 1,
93401, 1,
06853, 1,
93619, 1,
83001, 1,
93720, 1,
11225, 1,
93722, 1,
85143, 1,
21401, 1,
85925, 1,
19343, 1,
86406, 1,
94087, 1,
06905, 1,
94109, 1,
06907, 1,
94114, 1,
07042, 1,
11415, 1,
90046, 1,
94116, 1,
07666, 1,
94118, 1,
08840, 1,
94121, 1,
11220-0, 1,
94122, 1,
33143, 1,
94123, 1,
77018, 1,
94127, 1,
94404, 1,
92620, 1,
11231, 1,
92624, 1,
91784, 1,
91792, 1
